full_text,case_folding,preprocessing,label
Sejak ada penambahan traffic light laluan pergi kerja tiap hari kena bangun extra awal sbb nak elak jem &amp; sempat sampai kilang before 7.50am. Dan additional route ke taska rayyan sbb dia dah start duk taska balik. Selalu pukul 6 baru kejutkan Rayyan Inara &amp; laki aku.,sejak ada penambahan traffic light laluan pergi kerja tiap hari kena bangun extra awal sbb nak elak jem &amp; sempat sampai kilang before 7.50am. dan additional route ke taska rayyan sbb dia dah start duk taska balik. selalu pukul 6 baru kejutkan rayyan inara &amp; laki aku.,tambah traffic light lalu pergi kerja kena bangun extra sbb nak elak jem amp before am additional route taska rayyan sbb start duk taska kejut rayyan inara amp laki,negative
355 hari Presiden @prabowo Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @Gerindra Kilang minyak harus banyak Agar BBM tdk impor dari Singgapur Reformasi pertamina utk stop BBM langka di Indonesia yg kaya sumber tambang BBM nya. https://t.co/HWWLLhDQqh,355 hari presiden @prabowo monitor yth bpk presiden @prabowo @dpr_ri @kejaksaanri @gerindra kilang minyak harus banyak agar bbm tdk impor dari singgapur reformasi pertamina utk stop bbm langka di indonesia yg kaya sumber tambang bbm nya. https://t.co/hwwllhdqqh,presiden monitor yth bpk presiden impor singgapur reformasi stop langka indonesia kaya sumber tambang nya,negative
@Bambangmulyonoo Malaysia punya kilang dimaksimalkan sedangkan diindo import dari negri tetangga yg gk punya minyak sungguh ajaib negri wakanda,@bambangmulyonoo malaysia punya kilang dimaksimalkan sedangkan diindo import dari negri tetangga yg gk punya minyak sungguh ajaib negri wakanda,malaysia maksimal diindo import negri tetangga sungguh ajaib negri wakanda,negative
@LahrianSyahilla Pertamina juga memperkuat sektor hilir melalui peningkatan kapasitas dan efisiensi kilang. Salah satu proyek strategis nasional yang menjadi prioritas,@lahriansyahilla pertamina juga memperkuat sektor hilir melalui peningkatan kapasitas dan efisiensi kilang. salah satu proyek strategis nasional yang menjadi prioritas,kuat sektor hilir tingkat kapasitas efisiensi salah proyek strategis nasional prioritas,positive
Kalau overcapacity kilang seharusnya produksi BBM jg melimpah stock mencukupi dan tidak perlu impor lagi. Dan harga BBM jg tidak mahal. https://t.co/nxmucCk30a,kalau overcapacity kilang seharusnya produksi bbm jg melimpah stock mencukupi dan tidak perlu impor lagi. dan harga bbm jg tidak mahal. https://t.co/nxmucck30a,overcapacity produksi limpah stock cukup impor harga mahal,negative
@RagilSemar Kebijakan itu hanya untuk melegalkan bisnis air dibayar harga minyak. Salah satu kawan gw pernah kerja transportasi crude oil dari sumur ke kilang. Ditengah jalan ya doi isi tuh tengki sama air.,@ragilsemar kebijakan itu hanya untuk melegalkan bisnis air dibayar harga minyak. salah satu kawan gw pernah kerja transportasi crude oil dari sumur ke kilang. ditengah jalan ya doi isi tuh tengki sama air.,bijak legal bisnis air bayar harga salah kawan kerja transportasi crude oil sumur tengah jalan doi isi tuh tengki air,negative
Over capasity kilang kenapa masih impor ? Mestinya ekspor dong..! Dimana kendalanya ini ? https://t.co/trt3ihsVeh,over capasity kilang kenapa masih impor ? mestinya ekspor dong..! dimana kendalanya ini ? https://t.co/trt3ihsveh,over capasity impor mesti ekspor kendala,negative
Tenggelemin di kilang minyak aja ni manusia.,tenggelemin di kilang minyak aja ni manusia.,tenggelemin aja ni manusia,negative
11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #BHkes Kebocoran berlaku pada sistem paip kira-kira 15 liter bahan kimia tertumpah https://t.co/eFgfMsTv1w,11 pekerja sesak nafas pedih mata akibat tumpahan bahan kimia di kilang #bhkes kebocoran berlaku pada sistem paip kira-kira 15 liter bahan kimia tertumpah https://t.co/efgfmstv1w,kerja sesak nafas pedih mata akibat tumpah bahan kimia bhkes bocor laku sistem paip liter bahan kimia tumpah,negative
23 pekerja kilang sesak nafas terhidu bahan kimia https://t.co/q4wmGLs1j6,23 pekerja kilang sesak nafas terhidu bahan kimia https://t.co/q4wmgls1j6,kerja sesak nafas hidu bahan kimia,negative
